fid,town,town_id,sum_acres,sum_square,shape_leng,shape_area,shape_length
1,BOURNE,36,26293.233,41.083,140485.734252,106404912.496,188286.764580004
2,CANTON,50,12489.087,19.514,32125.5826298,50541640.1012,43369.1412128468
3,SOUTHBOROUGH,277,9934.954,15.523,27678.8005301,40205358.4962,37432.5305638589
4,LYNNFIELD,164,6683.367,10.443,27790.2519998,27046601.4241,37732.6502171331
5,MARBLEHEAD,168,2798.917,4.374,28931.4075481,11293625.833,39250.246349571
6,WELLESLEY,317,6749.852,10.547,26738.5943686,27269576.387,36161.2401429035
7,SALISBURY,259,10113.036,15.802,57740.2672366,40926012.8804,78768.196807529
8,DOVER,78,9867.171,15.417,37756.016717,39933244.0342,51022.5766606386
9,CONCORD,67,16532.471,25.832,36342.9715231,66904557.6467,49273.8389777789
10,TAUNTON,293,30878.267,48.247,88274.8208818,124959892.697,118668.981454357
11,WAREHAM,310,23772.067,37.144,153731.20176,96202168.4233,206149.883657008
12,RANDOLPH,244,6664.926,10.414,24248.340309,26971975.0321,32740.5504280736
13,NEWBURYPORT,206,5596.913,8.746,40862.9400995,22644709.408,55701.2317221567
14,MAYNARD,174,3435.604,5.368,14674.5841294,13903410.0021,19894.8190566545
15,TEWKSBURY,295,13534.341,21.147,34481.7160109,54771580.8577,46854.5676655635
16,FITCHBURG,97,17994.628,28.116,40862.9010333,72821650.8604,55528.6589873542
17,LANCASTER,147,17909.595,27.984,40992.8516576,72477533.4367,55626.0267025766
18,CHELSEA,57,1415.922,2.212,13794.4788994,5730029.66375,18684.9061061719
19,ESSEX,92,9124.23,14.254,121513.894542,36924445.0559,165261.324148831
20,GROTON,115,21616.651,33.776,51453.1194375,87488583.5828,69937.5470264907
21,ASHBURNHAM,11,26208.922,40.951,41818.0211363,106063702.027,56890.529345211
22,AMESBURY,7,8783.907,13.725,26560.1428567,35547168.4003,36237.3783072113
23,WESTBOROUGH,328,13729.642,21.452,34961.1100838,55576826.7549,47249.1830646361
24,NAHANT,196,802.923,1.255,20844.5392694,3249309.4675,28258.021286675
25,WENHAM,320,5210.419,8.141,25532.5297275,21085800.09,34669.0099117177
26,WEST BRIDGEWATER,322,10030.988,15.673,26926.2726803,40594007.1601,36264.064837844
27,CARLISLE,51,9935.371,15.524,25118.466083,40207034.4864,34086.6015322768
28,SAUGUS,262,7257.752,11.34,54393.0900133,29371041.9841,73756.9030741601
29,LEXINGTON,155,10648.621,16.638,26948.2278419,43093413.6387,36542.0779856833
30,BELMONT,26,3017.347,4.715,16672.5926804,12218653.779,22576.5660727324
31,SHERBORN,269,10339.194,16.155,30651.8875075,41841240.8932,41408.6325082405
32,MILTON,189,8516.373,13.307,30936.5726131,34464524.1851,41798.0612288301
33,MIDDLEBOROUGH,182,46208.985,72.201,72570.7833835,187001109.86,97507.3568515916
34,WESTWOOD,335,7138.707,11.154,29416.0656508,28965192.7148,39742.5779926189
35,MILLIS,187,7848.218,12.263,28285.791037,31760624.0783,38179.9534998446
36,DANVERS,71,8822.898,13.785,44773.9692797,35705009.1823,60813.402234212
37,NEEDHAM,199,8130.187,12.703,28960.0128249,32947766.8198,39152.3808508644
38,READING,246,6393.727,9.99,23126.4713027,25874497.0427,31406.3604353071
39,QUINCY,243,11080.397,17.313,87188.9342746,44840777.0498,117828.20713481
40,PEABODY,229,10754.126,16.803,29568.6219334,43520406.4086,40132.4352516977
41,MEDFIELD,175,9379.074,14.655,33821.8547328,37955730.4077,45652.3609345415
42,WORCESTER,348,24602.486,38.441,42619.2767683,99562707.1317,57630.504616326
43,SWAMPSCOTT,291,1984.475,3.101,14765.4861437,8030877.99235,20021.3724672923
44,WAYLAND,315,10146.912,15.854,35891.3483759,41063123.7161,48614.9393046214
45,CAMBRIDGE,49,4546.96,7.105,26475.6845563,18400398.6685,35846.8905752307
46,MARSHFIELD,171,18274.999,28.553,111569.449874,73955197.0742,150483.130779764
47,NORTHBOROUGH,215,11995.727,18.743,30234.1312189,48545037.7848,40907.61582059
48,BURLINGTON,48,7591.924,11.862,23754.8720487,30723422.276,32249.7324320197
49,PLYMPTON,240,9667.011,15.105,27849.1165861,39121041.8238,37474.0601176835
50,BERKLEY,27,10611.725,16.58,40024.0530814,42944099.925,53723.2653019598
51,KINGSTON,145,12160.117,19.0,44110.1963732,49210261.8372,59373.6069312938
52,TYNGSBOROUGH,301,11564.668,18.071,43250.995296,46800582.8711,58827.8122598734
53,MALDEN,165,3243.977,5.069,18699.870179,13127931.5015,25339.5512671135
54,STONEHAM,284,4253.6,6.646,18559.0567177,17213714.0417,25180.3736315941
55,HAMILTON,119,9536.346,14.9,37649.3460694,38592243.6822,51172.6425624561
56,PLYMOUTH,239,65774.95,102.773,119362.486176,266181688.528,160451.847154445
57,BELLINGHAM,25,12088.179,18.888,34810.2626298,48919135.1993,46953.8833721839
58,BRAINTREE,40,9234.277,14.429,31787.1135123,37369755.5595,42924.7669091624
59,WALPOLE,307,13499.349,21.093,37932.0536885,54554219.6293,51197.7409125431
60,SCITUATE,264,11085.746,17.323,103057.519461,44862409.2405,139155.593818835
61,NORFOLK,208,9853.371,15.396,28905.2053809,39875151.8888,38981.5462389225
62,WHITMAN,338,4453.393,6.958,18499.9649783,18022245.9213,24923.7919920542
63,PAXTON,228,9888.941,15.451,31480.1638035,40020678.0599,42570.4072830857
64,SALEM,258,5331.594,8.332,53262.848552,21609408.8934,72295.5212981371
65,MARLBOROUGH,170,14144.598,22.101,33681.1503211,57241191.6269,45563.6461319458
66,FREETOWN,102,22698.976,35.467,70099.1752776,91859467.9781,93994.4473870015
67,NORWELL,219,13584.661,21.226,41301.3390541,54975198.7131,55720.837168655
68,STOW,286,11517.155,17.995,28810.947102,46608286.5093,39048.0380563024
69,ATTLEBORO,16,17773.159,27.77,39370.2311179,71925427.5328,52919.7733490842
70,STOUGHTON,285,10537.857,16.465,31388.1283161,42644406.8674,42339.2661547016
71,NEWBURY,205,15474.489,24.182,163526.033279,62628198.7587,222810.166075411
72,HANOVER,122,10002.351,15.629,30127.6984885,40478068.4934,40636.0232794871
73,SHARON,266,15649.885,24.453,35399.721589,63334448.6462,47754.3247263222
74,MANSFIELD,167,13072.397,20.426,31080.0981407,52902104.5416,41840.3335116627
75,DRACUT,79,13719.806,21.437,38335.1733907,55522005.0544,52168.406048133
76,FRANKLIN,101,17296.912,27.026,36786.1208206,69998126.0056,49614.2639149812
77,WESTMINSTER,332,23842.548,37.254,48293.6283669,96487399.1646,65598.2271725244
78,LEOMINSTER,153,18994.065,29.678,42258.665471,76866230.7627,57356.1588923076
79,REVERE,248,3944.187,6.164,50280.7276757,15961564.4668,68143.2261851258
80,WRENTHAM,350,14465.195,22.602,38486.8914154,58538617.3462,51813.5548647225
81,HALIFAX,118,11126.803,17.386,29497.4662572,45028534.8141,39703.7329654965
82,NEWTON,207,11618.778,18.154,36766.323035,47019520.8789,49741.7757279258
83,IPSWICH,144,21162.493,33.067,206890.992173,85641537.4016,281534.049153239
84,COHASSET,65,6436.644,10.057,42159.2751702,26048184.2518,56975.2035139305
85,WOBURN,347,8283.535,12.943,27522.3462022,33522274.0438,37337.0937714879
86,SUTTON,290,21776.331,34.025,46473.4973328,88125697.1745,62683.6781807498
87,FRAMINGHAM,100,16961.824,26.503,35082.75397,68642060.1933,47453.4020326108
88,LYNN,163,7390.936,11.548,31048.0789035,29910094.1681,42111.5604615516
89,DEDHAM,73,6837.386,10.683,26695.826325,27669925.4457,36076.5578544402
90,PRINCETON,241,22938.968,35.842,43136.4925609,92784984.2411,58486.1130495383
